words,weight
foreskin,3
forni,4
fornicate,5
foursome,3
fourtwenty,3
fraud,4
freakfuck,5
freakyfucker,5
freefuck,5
fu,2
fubar,3
fuc,4
fucck,5
fuck,5
fucka,5
fuckable,5
fuckbag,5
fuckbuddy,5
fucked,5
fuckedup,5
fucker,5
fuckers,5
fuckface,5
fuckfest,5
fuckfreak,5
fuckfriend,4
fuckhead,5
fuckher,5
fuckin,5
fuckina,5
fucking,5
fuckingbitch,5
fuckinnuts,5
fuckinright,5
fuckit,5
fuckknob,5
fuckme ,5
fuckmehard,5
fuckmonkey,5
fuckoff,5
fuckpig,5
fucks,5
fucktard,5
fuckwhore,5
fuckyou,5
fudgepacker,5
fugly,4
fuk,5
fuks,5
funeral,1
funfuck,5
fungus,2
fuuck,5
gangbang,5
gangbanged ,5
gangbanger,5
gangsta,3
gatorbait,3
gay,2
gaymuthafuckinwhore,5
gaysex ,5
geez,2
geezer,2
geni,2
genital,3
getiton,2
gin,1
ginzo,3
gipp,2
givehead,5
glazeddonut,5
gob,3
godammit,2
goddamit,2
goddammit,2
goddamn,2
goddamned,3
goddamnes,3
goddamnit,2
goddamnmuthafucker,2
goldenshower,5
gonorrehea,5
gonzagas,4
gook,5
gotohell,2
goy,4
goyim,2
greaseball,3
gringo,3
gross,1
grostulation,1
gubba,3
gummer,5
gypo,5
gypp,3
gyppie,2
gyppo,2
gyppy,3
hamas,2
handjob,4
hapa,5
harder,1
hardon,1
harem,1
headfuck,5
headlights,4
hebe,3
heeb,2
henhouse,2
heroin,1
herpes,1
hillbillies,1
hindoo,3
hitler,1
hitlerism,5
hitlerist,5
hiv,5
ho,1
hobo,5
hodgie,2
hoes,5
hole,5
holestuffer,1
homicide,4
homo,4
homobangers,4
homosexual,5
honger,2
honk,1
honkers,3
honkey,3
honky,2
hook,2
hooker,2
hookers,5
hooters,5
hore,3
horney,3
horniest,3
horny,2
horseshit,3
hosejob,2
hoser,2
hotdamn,1
hotpussy,1
hottotrot,5
hummer,2
husky,4
hussy,2
hustler,3
hymen,2
hymie,1
iblowu,3
idiot,5
ikey,2
incest,2
insest,3
intercourse,3
interracial,2
intheass,1
inthebuff,4
jackass,2
jackoff,2
jackshit,3
jacktheripper,1
japcrap,2
jeez,2
jerkoff,1
jiga,3
jigaboo,2
jigga,3
jiggabo,3
jigger ,3
jiggy,2
jihad,3
jijjiboo,5
jimfish,1
jism,3
jiz ,4
jizim,4
jizjuice,4
jizm ,3
jizz,3
jizzim,4
jizzum,3
joint,3
juggalo,2
jugs,2
junglebunny,3
kaffer,4
kaffir,4
kaffre,4
kafir,4
kanake,5
kigger,3
kike,4
killer,1
kink,2
kinky,2
kissass,4
kkk,3
knockers,4
kock,5
kondum,2
koon,3
kotex,1
krap,3
krappy,3
kraut,3
kum,5
kumbubble,5
kumbullbe,5
kummer,5
kumming,2
kumquat,3
kums,3
kunilingus,4
kunnilingus,5
kunt,5
ky,2
kyke,3
lactate,2
laid,2
lapdance,3
lesbayn,2
lesbo,3
lez,3
lezbe,2
lezbefriends,2
lezbo,3
lezz,2
lezzo,2
libido,3
licker,4
lickme,5
lies,1
limey,2
limpdick,5
limy,3
lingerie,2
liquor,1
livesex,4
loadedgun,3
lolita,3
looser,2
loser,2
lotion,2
lovebone,3
lovegoo,3
lovegun,3
lovejuice,3
lovemuscle,3
lovepistol,3
loverocket,3
lowlife,2
lsd,2
lubejob,5
luckycammeltoe,4
lugan,2
lynch,3
macaca,3
mad,2
mafia,4
magicwand,3
manhater,2
manpaste,4
marijuana,2
mastabate,3
mastabater,4
masterbate,3
masterblaster,4
mastrabator,4
masturbate,3
masturbating,3
mattressprincess,4
meatbeatter,3
meatrack,3
meth,2
mickeyfinn,2
milf,5
mockey,4
mockie,4
mocky,1
mofo,5
moky,2
moles,1
molest,4
molestation,3
molester,4
molestor,4
moneyshot,5
mooncricket,3
mormon,2
moron,2
mosshead,4
mothafuck,5
mothafucka,5
mothafuckaz,5
mothafucked ,4
mothafucker,5
mothafuckin,5
mothafucking ,4
mothafuckings,2
motherfuck,5
motherfucked,4
motherfucker,5
motherfuckin,5
motherfucking,5
motherfuckings,4
motherlovebone,5
muff,4
muffdive,4
muffdiver,4
muffindiver,3
mufflikcer,4
mulatto,5
muncher,4
munt,4
murderer,4
narcotic,2
nasty,3
nastybitch,5
nastyho,5
nastyslut,5
nastywhore,5
nazi,5
necro,2
negro,5
negroes,5
negroid,4
negro's,2
nig,1
niger,5
nigg,2
nigga,5
niggah,5
niggaracci,4
niggard,5
niggarded,5
niggarding,3
niggardliness,5
niggardliness's,5
niggardly,4
niggards,5
niggard's,5
niggaz,5
nigger,4
niggerhead,5
niggerhole,5
niggers,5
nigger's,5
niggle,5
niggled,5
niggles,4
niggling,4
nigglings,4
niggor,5
niggur,5
niglet,5
nignog,4
nigr,5
nigra,5
nigre,5
nip,5
nipple,2
nipplering,2
nittit,2
nlgger,2
nlggor,2
nofuckingway,2
nook,2
nookey,2
nookie,2
noonan,4
nooner,2
nudger,3
nuke,3
nutfucker,3
nymph,3
ontherag,2
oral,1
orga,3
orgasim ,4
orgasm,4
orgies,2
orgy,3
osama,3
paki,3
pansies,2
pansy,2
panti,4
panties,5
payo,4
pearlnecklace,4
peck,2
pecker,3
peckerwood,4
pee,2
peehole,2
pee-pee,2
peepshow,3
peepshpw,2
pendy,4
penetration,2
peni5,5
penile,4
penis,4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,2
,5
,1
,4
,4
,2
,4
,3
,3
